=============== 16-byte bucket profile of the current best ===============
overclock     requesting 400000 kHz

emulator      yax86
target        rp2040
opt           -O3
guest_ram_kb  128
sys_clk_khz   400000
state_bytes   2952

Select a workload, or wait 5 seconds to run all:
  1  compute
  2  strings
  3  cga
  4  dos-boot
  a  all

workload      dos-boot
seconds       6.291482
instructions  2324726
emulated_cyc  27724061
mips          0.36
emulated_mhz  4.40
speed_vs_8088 0.9x

profile_samples 314574
profile_bucket 16
profile_elsewhere 18826
p 2000acc0 2
p 2000acd0 1
p 2000ace0 1
p 2000ad20 19
p 2000ae10 792
p 2000ae20 765
p 2000cd80 186
p 2000cd90 173
p 2000cda0 1866
p 2000cdb0 1425
p 2000cde0 94
p 10000280 140
p 10000600 2
p 10000680 2
p 10000780 6
p 10000800 3
p 10000c80 194
p 10000d00 356
p 10000d80 2
p 10000e00 280
p 10000e80 15
p 10000f00 2
p 10000f80 4
p 10001000 24
p 10001080 11
p 10001100 2
p 10001680 580
p 10001700 814
p 10001780 126
p 10001800 113
p 10002e00 2
p 10003280 1112
p 10003f80 2816
p 10004000 182
p 10008080 1
profile_end
summary       -O3 emulated_mhz
dos-boot      4.40

stack_peak    1196 of 4096 bytes

done
